County,Organisation,Project Title,Amount Sought,Organisation Type,Sport Type
Kildare,Cill Dara RFC,Repair pitches. Upgrade boilers & floodlights.,"€92,389",Sports Club,Rugby
Kildare,Clane Boxing Club,clane boxing club equipment reqruirements,"€11,500",Sports Club,Boxing
Kildare,Clane Camogie Club,Camogie Training Pitch Lighting,"€24,334",Sports Club,Camogie
Kildare,Clane Lawn Tennis Club,Upgrade Tennis Courts & Extension of Games Room,"€150,000",Sports Club,Tennis
Kildare,Clane RFC,Clane Rugby Football Club Facilities Development,"€98,171",Sports Club,Rugby
Kildare,Clogheringkoe Broadford GAA,Full floodlights and track / walkway around pitch,"€150,000",Community Group,Gaelic Football
Kildare,Clongorey Community Association Ltd,Structure repair & establish disabled amenities,"€108,300",Community Group,Multi-sport
Kildare,Coill Dubh AFC,Coill Dubh AFC soccer club dressing rooms,"€95,000",Sports Club,Soccer
Kildare,Coill Dubh Hurling Club,Coill Dubh Facilities Development - Phase 2,"€100,000",Sports Club,Hurling
Kildare,Coill Dubh Residents Association,Artificial Grass Multi Sport Play Area,"€55,180",Community Group,Multi-sport
Kildare,Cumann Luthchleas Gael Cill Dara,"Refurbishment Saint Conleths Park, Newbridge","€200,000",Sports Stadium,Gaelic Games
Kildare,Dressage Ireland Ltd,To Grow Dressage Ireland,"€33,326",Sports Club,Equestrian Sports
Kildare,Eadestown GAA,Eadestown Gaa Upgrade Facilities,"€71,816",Sports Club,Gaelic Games
Kildare,Edenderry Rugby Football Club,Drainage & Surface Development of 3 Rugby Pitches,"€130,037",Sports Club,Rugby
Kildare,EIRE OG CORRA CHOILL ATHLETIC CLUB,"Storage, Portable Lighting and Sports Equipment","€6,922",Sports Club,Athletics
Kildare,Eire Og Corra Choill Hurling Club,Floodlighting installation and hurling wall build,"€127,398",Sports Club,Hurling
Kildare,Eventing Ireland,Purchase of Ground Improvement Equipment,"€56,088",National Governing Body of Sport,Equestrian Sports
Kildare,Golden Falls Water Ski Club,Regional Water Ski Facility,"€93,295",Sports Club,Waterskiing & Wakeboarding
Kildare,Grangenolvin GFC,Existing Clubhouse refurbishment and Dugouts,"€39,000",Sports Club,Gaelic Games
Kildare,Horse Sport Ireland,High Resolution 3550 LED Digital Trailer,"€30,400",National Governing Body of Sport,Equestrian Sports
Kildare,JOHNSTOWNBRIDGE Football Club,Installation of all weather sand based grass pitch,"€150,000",Sports Club,Gaelic Games
Kildare,Kilcock Canoe Polo Club,Canoe Polo Equipment,"€68,478",Sports Club,Canoeing / Kayaking
Kildare,Kilcock Celtic AFC,Kilcock Celtic AFC - Goalposts,"€2,897",Sports Club,Soccer
Kildare,Kilcock GAA,Kilcock GAA Club Pitch and Hall Upgrades,"€62,971",Sports Club,Gaelic Games
Kildare,Kilcullen Community Centre Ltd,Resurfacing Of All Weather Pitch,"€107,893",Community Group,Multi-sport
Kildare,Kilcullen GAA,Dugouts & Ball Stop Netting,"€16,517",Sports Club,Gaelic Games
Kildare,Kildangan GAA (Kildare),Capital Grant for Lawnmower,"€35,455",Sports Club,Gaelic Games
Kildare,Kildare & Leighlin Diocesan Trust,Sallins NS All-weather Field Development,"€150,000",Diocesan Trust,Multi-sport
Kildare,Kildare & Wicklow ETB,Ardscoil Rath Iomgháin astro turf project,"€110,370",Education & Training Board,Multi-sport
Kildare,Kildare & Wicklow ETB,Athy College Athletics track development,"€121,642",Education & Training Board,Multi-sport
Kildare,Kildare County Council,Installation of gym equip in Newbridge Sports,"€150,000",Local Authority,Multi-sport
Kildare,Kildare County Council,Kilcock Multi-Purpose Community and Sports Centre,"€150,000",Local Authority,Multi-sport
Kildare,Kildare County Council,Synthetic Sprint Lanes and High Jump development,"€146,064",Local Authority,Multi-sport
Kildare,Kildare Sports and Leisure Facilities Ltd,Installation of gym equipment at K Leisure Athy,"€150,000",Sports Centre,Swimming
Kildare,Kill Celtic FC,Defibrillator and Lawnmower purchase,"€6,843",Sports Club,Soccer
Kildare,Kill GAA Club,Extension by developing our senior pitches.,"€130,000",Sports Club,Gaelic Games
Kildare,Le Cheile Athletic Club,Completion of works at Le Chéile athletics track,"€147,905",Sports Club,Athletics
Kildare,Leixlip Tennis Club,Clubhouse Development,"€150,000",Sports Club,Tennis
Kildare,Maynooth GAA Club,Dressing Rooms for Maynooth GAA club,"€150,000",Sports Club,Gaelic Games
Kildare,MAYNOOTH TOWN AFC,All weather Pitch and Training Facility 60x40sqm,"€93,243",Sports Club,Soccer
Kildare,Monasterevan GFC,GAA Pitch Floodlighting,"€110,853",Sports Club,Gaelic Football
Kildare,Monasterevin Community Facilities Group,"Equipment for Tennis, Soccer and Basketball","€27,903",Community Group,Multi-sport
Kildare,Moorefield GAA,"Walking track,hurling wall and sports equipment.","€75,758",Sports Club,Gaelic Games
Kildare,Mounted Games Association Ireland,Mounted Games Association Ireland Games Equipment,"€31,182",National Governing Body of Sport,Equestrian Sports
Kildare,Naas Golf Club,2017 Naas Golf Club Sports Cap Application,"€150,000",Sports Club,Golf
Kildare,Naas Lawn Tennis Club,Replace 3 existing courts - surface end of life,"€51,246",Sports Club,Tennis
Kildare,Naas Rugby Football Club,Upgrade facilities incl training equipment,"€51,821",Sports Club,Rugby
Kildare,Naas Sports Group Mgt Ltd,Naas Sports Group Management CLG,"€92,307",Sports Centre,Multi-sport
Kildare,Naas Sub Aqua Club,Purchase of a Rigid Hull Inflatable Boat (RIB),"€56,250",Sports Club,Diving/Snorkelling
Kildare,Naas Triathlon Club,Race Management &Training Development Project,"€14,941",Sports Club,Triathlon
Kildare,Newbridge Rugby Football Club,Dressing Rooms & Disability Changing\Shower Room,"€148,438",Sports Club,Rugby
Kildare,North Kildare Club,North Kildare - Grounds/Lighting,"€150,000",Sports Club,Rugby
Kildare,North West Kildare Athletic Club,Athletic Club Equipment,"€5,603",Sports Club,Athletics
Kildare,Prosperous United AFC,Purchase of Lawn MowerPurchase of Defibrillator,"€12,000",Sports Club,Soccer
Kildare,Rathangan AFC,Walking Track development,"€73,422",Sports Club,Soccer
Kildare,Rathcoffey GAA,Erection of match grade flood lights on Main Pitch,"€80,000",Sports Club,Gaelic Games
Kildare,Rheban GFC,Purchase of a Lawnmower,"€6,498",Sports Club,Gaelic Football
Kildare,Robertstown GFC,Gym Equipment for clubhouse extension,"€37,676",Sports Club,Gaelic Football
Kildare,Sallins Gaa,Sallins GAA facility development,"€120,413",Sports Club,Gaelic Games
Kildare,Sarsfields GAA,Development and upgrade of Club Main Pitch,"€62,645",Sports Club,Gaelic Games
Kildare,Scoil na Naomh uilig,Artificial Playing Surface,"€142,050",School (primary or second level),Gaelic Games
Kildare,Showjumping Association of Ireland,Mobile Judges Boxes,"€97,385",National Governing Body of Sport,Equestrian Sports
Kildare,St Bridgets Pitch & Putt Club,St Bridgets Course Upgrade 2017,"€41,900",Sports Club,Pitch and Putt
Kildare,St Kevins GAA Club,All-weather synthetic playing pitch,"€115,000",Sports Club,Gaelic Games
Kildare,St Laurences Gaelic Club,Momentum 2 new sports: better access for disabled,"€45,515",Sports Club,Gaelic Games
Kildare,St Marys GAA Club Leixlip,Glen Easton All Weather Facility,"€150,000",Sports Club,Gaelic Games
Kildare,St. Cocas Athletic Club,Athletic equipment high jump and hurdles,"€6,809",Sports Club,Athletics
Kildare,Straffan GAA,Straffan Gaa All Weather Pitch,"€150,000",Sports Club,Gaelic Games
Kildare,Suncroft GAA Club,Construction of a new pitch and associated works,"€131,765",Sports Club,Gaelic Football
Kildare,The Association of Irish Riding Clubs Limited,Equestrian Timing Equipment,"€13,308",National Governing Body of Sport,Equestrian Sports
Kildare,Two Mile House GAA Club,PROVISION OF FLOODLIGHTING FACILITIES,"€80,037",Sports Club,Gaelic Games
Kilkenny,Association of Kettlebell Sport Ireland,"Kettlebells,clocks and platforms","€6,150",Sports Club,Weightlifting
Kilkenny,Ballyhale Shamrocks Hurling Club,Ballyhale Shamrocks Club,"€150,000",Sports Club,Hurling
Kilkenny,Bennettsbridge GAA Club,New Pavillion fit out and refurbishment,"€45,542",Sports Club,Gaelic Games
Kilkenny,Berkeley Basketball Club,Berkeley Basketball Club scoreboard purchase 2017,"€5,300",Sports Club,Basketball
Kilkenny,Bridge United F.C,"Garden Tractor, Goal posts , Defibrillator, Marker","€18,955",Sports Club,Soccer
Kilkenny,Callan Boxing Club,Boxing Club Equipment,"€14,184",Sports Club,Boxing
Kilkenny,Callan Golf Club,Machinery Replacement - New Rough Mower,"€44,887",Sports Club,Golf
Kilkenny,Callan Handball &Racquet Ball Club,"renovation of alley, new extension","€60,000",Sports Club,Handball
Kilkenny,Callan United Football Club,Callan United Club Rooms and Equipment Upgrade,"€4,730",Sports Club,Soccer
Kilkenny,"castlecomer community school & assoc sports
clubs",Sports Complex at Castlecomer Community School,"€150,000",Community Group,Gaelic Games
Kilkenny,Castlecomer Golf Club,Replace Damaged Rough Mower,"€55,985",Sports Club,Golf
Kilkenny,Clara GAA Club [KILKENNY],Improvement of GAA grounds to increase/enhance use,"€53,000",Sports Club,Gaelic Games
Kilkenny,Danesfort GAA Club,Danesfort Club Pavilion / Training facilities,"€150,000",Sports Club,Gaelic Games
Kilkenny,DEEN CELTIC A.F.C,Deen Celtic - Artificial Playing Surface,"€117,072",Sports Club,Soccer
Kilkenny,Deenside Wheelers Cycling Club,Deenside Wheelers Cycling Club,"€8,725",Sports Club,Cycling
Kilkenny,Dicksboro GAA Club,Pitch Drainage & Improvements to Hurling Wall Area,"€135,000",Sports Club,Hurling
Kilkenny,DUNNAMAGGIN HURLING CLUB,Kilmoganny Pitch & Changing Rooms Development,"€141,752",Sports Club,Hurling
Kilkenny,East End United,To purchase and erect security fencing,"€10,000",Sports Club,Soccer
Kilkenny,Evergreen FC,Floodlighting and security perimeter fencing,"€85,170",Sports Club,Soccer
Kilkenny,Fort Rangers F.C,Fort Rangers F.C Facilities Development Plan,"€23,637",Sports Club,Soccer
Kilkenny,Freebooters AFC,Astro turf pitch Freebooters FC Kilkenny,"€108,632",Sports Club,Soccer
Kilkenny,"Goresbridge Community Park Development
Committee Limited",Lawn mower/goalpost/storage shad/net stopper.,"€19,900",Community Group,Multi-sport
Kilkenny,Gowran Pitch and Putt Club,NEW PITCH AND PUTT MAINTENANCE EQUIPMENT,"€21,746",Sports Club,Pitch and Putt
Kilkenny,Graignamanagh Canoe Club,Sports equipment for Graignamanagh Canoe Club.,"€14,736",Sports Club,Canoeing / Kayaking
Kilkenny,Graignamanagh GAA Club,Graignamanagh GAA Club Sports Capital Grant 2017,"€67,000",Sports Club,Gaelic Games
Kilkenny,Graigue-Ballycallan Gaa Club,Graigueballycallan GAA clubSt Brigids Camogie,"€16,599",Sports Club,Gaelic Games
Kilkenny,Graiguenamanagh Boat Club,"Rowing Boats, rowing equipment and oars","€87,191",Sports Club,Rowing
Kilkenny,IRISH PONY CLUB,Purchase equipment for training & competition,"€16,283",National Governing Body of Sport,Equestrian Sports
Kilkenny,John Lockes,John Lockes GAA Club Facility Development,"€51,577",Sports Club,Gaelic Games
Kilkenny,Kells Sports Centre,Kells Sports Centre Renovation and Build,"€74,070",Community Group,Handball
Kilkenny,Kilfane Handball Club,Kilfane Handball Club,"€150,000",Sports Club,Handball
Kilkenny,Kilkenny and Carlow ETB,Extension of Existing Gymnasium,"€150,000",Education & Training Board,Multi-sport
Kilkenny,Kilkenny Aqua Canoe Club,Special Olympics Kayak Training Equipment,"€6,629",Sports Club,Canoeing / Kayaking
Kilkenny,KIlkenny County Council,Community Sports Hub,"€200,000",Local Authority,Multi-sport
Kilkenny,KIlkenny County Council,Watersports Centre,"€200,000",Local Authority,Multi-sport
Kilkenny,Kilkenny Golf Club,Develop Existing Course & Practice Facilities,"€133,383",Sports Club,Golf
Kilkenny,Kilkenny Lawn Tennis Club,Upgrade of facilities at Kilkenny Tennis club,"€63,666",Sports Club,Tennis
Kilkenny,"Kilkenny Local Authorities Leisure Complex
Limited",Purchase of New/Additional Equipment Only.,"€144,588",Sports Centre,Multi-sport
Kilkenny,Kilkenny Recreation & Sports Partnership,Purchase of Inclusive Sports Equipment,"€25,000",Local Sports Partnership,Multi-sport
Kilkenny,Kilkenny Swimming Club,Competition Equipment Improvement,"€20,000",Sports Club,Swimming
Kilkenny,Kilkenny Triathlon Club,Kilkenny Triathlon Club,"€6,892",Sports Club,Triathlon
Kilkenny,Kilkenny United WFC,Kilkenny United Women`s National League Club,"€11,245",Sports Club,Soccer
Kilkenny,Kilmacow Community Sports Complex Limited,Development of Kilmacow Community Sports Complex,"€148,700",Sports Centre,Multi-sport
Kilkenny,Lacken pitch and putt club,"Upgrade the Lacken Pitch and Putt Club, Kilkenny","€20,000",Sports Club,Pitch and Putt
Kilkenny,Lisdowney GAA Club,Erection of Two Ball Stopping Nets,"€9,000",Sports Club,Hurling
Kilkenny,Mooncoin Gaa Club,The Development of an Outdoor Astro Turf Facility,"€107,163",Sports Club,Gaelic Games
Kilkenny,Nore Dragon Paddlers,Equipment - Dragon Boat,"€11,008",Sports Club,Canoeing / Kayaking
Kilkenny,O'Loughlin Gaels GAA Club,Install ballstop netting and security fencing.,"€26,102",Sports Club,Gaelic Games
Kilkenny,Paulstown Boxing Club,Equipment Update,"€4,800",Sports Club,Boxing
Kilkenny,Piltown A.F.C. Limited,Extension to the existing clubhouse building,"€136,212",Sports Club,Soccer
Kilkenny,Piltown Gaa club,Astro turf training facility with security fence,"€75,000",Sports Club,Gaelic Games
Kilkenny,SPA United F.C.,Sportsfield Facility Upgrade,"€22,087",Sports Club,Soccer
Kilkenny,Spraoi Gymnastics Club,Gymnastics Equipment,"€13,273",Sports Club,Gymnastics
Kilkenny,St Lachtains Gaa Club,Replacing and Upgrading of GAA Facilities,"€150,000",Sports Club,Gaelic Games
Kilkenny,St Patricks Boxing Club [KILKENNY],Training Boxing Ring and Equipment,"€15,191",Sports Club,Boxing
Kilkenny,St. Martin's Gaa Club [KILKENNY],St. Martin's Gaa Facility Improvement Project,"€60,000",Sports Club,Gaelic Games
Kilkenny,St. Patrick's Centre (Kilkenny) Ltd.,Purchase of Aquatic and Disability Aids,"€25,000",Disability Group,Special Olympics
Kilkenny,Thomastown & District Riding Club,"20 XC jumps, 2 Dressage arenas, 1 Defibrillator","€19,498",Sports Club,Equestrian Sports
Kilkenny,Thomastown Community Centre Ltd,Replacement of roof and side panels on Sports Hall,"€106,365",Community Group,Multi-sport
Kilkenny,Thomastown Community River Trust,Thomastown River Amenity development,"€23,600",Community Group,Swimming
Kilkenny,Thomastown GAA Club,Facility Development,"€31,000",Sports Club,Gaelic Games
Kilkenny,Thomastown United A.F.C. Limited,Maintenance Machinery and Facilities Upgrade,"€50,000",Sports Club,Soccer
Kilkenny,Tullogher Rosbercon GAA Club,Tullogher Rosbercon GAA Pitch Development,"€6,896",Sports Club,Gaelic Games
Kilkenny,Young Irelands GAA Club [KILKENNY],"Sports hall, floodlighting, walkway, storage shed","€150,000",Sports Club,Gaelic Games
Laois,Abbey Bowls,Purchase of Indoor Bowls Equipment,"€4,628",Community Group,Bowls
Laois,Arles/Killeen (St Michael's) GFC,Ground upgrade and refurbishment works,"€54,586",Sports Club,Gaelic Football
Laois,Ballinakill GAA,Covered Ball Wall enclosure & Pitch enclosure,"€100,000",Sports Club,Gaelic Games
Laois,Ballypickas GAA Club,"REFURBISHMENT OF DRESSING
ROOMS/SHOWERS/TOILETS","€85,000",Sports Club,Hurling
Laois,Ballyroan Abbey GAA,"Drain/level pitch, Walking track, New showers","€126,286",Sports Club,Gaelic Football
Laois,Borris in Ossory GAA,Floodlighting at Borris in Ossory GAA grounds,"€90,000",Sports Club,Gaelic Games
Laois,Camross Community Hall,Sports field development and drainage,"€70,000",Community Group,Multi-sport
Laois,Camross GAA Club,"Camross GAA Club AstroTurf, Gym & Pitch Lights","€119,290",Sports Club,Gaelic Games
Laois,"Castletown community sports field
development fund","CASTLETOWN COMMUNITY SPORTS FIELD
DEVELOPMENT","€69,061",Community Group,Multi-sport
Laois,Castletown GAA,Non Personal Sports Equipment,"€17,000",Sports Club,Gaelic Games
Laois,Castletown Primary School,Sports Equipment for School/Community use,"€10,000",School (primary or second level),Multi-sport
Laois,Clonaslee St. Manmans GAA,Construction of Clubhouse,"€105,000",Sports Club,Gaelic Football
Laois,Clonin Sportsfield Committee,Astro Turf and fencing for ball wall area.,"€25,000",Community Group,Multi-sport
Laois,Clough-Ballacolla GAA Club,Pitch Development - Clough Ballacolla GAA Club,"€19,205",Sports Club,Gaelic Games
Laois,Colt GAA,1.Fencing 2.Walking track 3.Purchase of mower,"€95,727",Sports Club,Gaelic Games
Laois,Combat Kick Boxing Laois,Sports Equipment - Combat Kickboxing Laois,"€4,000",Sports Club,Martial Arts
Laois,Crettyard GAA Club,"Repair main pitch, purchase mower","€24,360",Sports Club,Gaelic Football
Laois,Crettyard United Soccer Club,Crettyard United AFC.,"€31,470",Sports Club,Soccer
Laois,Emo GAA,"Dressings rooms, showers, toilets & meeting room.","€100,000",Sports Club,Gaelic Games
Laois,Heath GAA,Security Fencing Heath GAA,"€33,215",Sports Club,Gaelic Games
Laois,Irish Wheelchair Association-Sport,Clonaslee Wheelchair Basketball Club,"€10,868",National Governing Body of Sport,Wheelchair Sport
Laois,Irish Wheelchair Association-Sport,Wheelchair rugby wheelchairs Laois Lions,"€25,000",National Governing Body of Sport,Wheelchair Sport
Laois,Kilcavan Gaa,construction of a multi-purpose fitness room,"€58,845",Sports Club,Gaelic Games
Laois,Kildare & Leighlin Diocesan Trust,St Mary's Sports Hall,"€113,212",Diocesan Trust,Multi-sport
Laois,Killeen Community Hall,Defibrillator/Sport Markings - Killeen Comm Centre,"€3,200",Community Group,Basketball
Laois,Killeshin AFC,Construction of dormer Clubhouse/Dressingrooms,"€135,000",Sports Club,Soccer
Laois,Laochra Laoise Special Olympics Sports Club,"Provide high quality, safe, appropriate equipment.","€2,156",Sports Club,Athletics
Laois,Laois Archery,New equipment for Laois Archery Club,"€3,744",Sports Club,Archery
Laois,Laois Athletic County Board (Laois Athletics),Purchase of non-personal sports training equipment,"€19,150",Sports Club,Athletics
Laois,Laois County Council,Sports Equipment - Laois County Council,"€10,535",Local Authority,Multi-sport
Laois,Laois GAA,Indoor Gym Facility at Laois Centre of Excellence,"€186,078",Sports Centre,Gaelic Games
Laois,Laois Hunt Pony Club,Equipment for 3 Pony Club Equestrian Disciplines,"€22,454",Sports Club,Equestrian Sports
Laois,Laois Kayak and Canoe Club,Renovation of Club House,"€27,431",Sports Club,Canoeing / Kayaking
Laois,Laois Sports Partnership Ltd,Increase participation in Sport and P.A.,"€4,102",Local Sports Partnership,Multi-sport
Laois,Lions AFC,Drainage of grass playing pitch and training pitch,"€47,076",Sports Club,Soccer
Laois,"Mountmellick & District Game Preservation
Association & Gun Club",Replacement of old Manual Clay pigeon,"€9,500",Sports Club,Clay Pigeon Shooting
Laois,Mountmellick Athletic Club,New Long Jump & Equipment,"€15,931",Sports Club,Athletics
Laois,Mountmellick Community Sports Complex Ltd,Oscar Sports Capital Grant 2017,"€3,371",Sports Centre,Soccer
Laois,Mountmellick GAA,Mountmellick Pitch Maintenance and Grass Cutting,"€14,703",Sports Club,Gaelic Games
Laois,Mountmellick Sarsfields LFC,Equipment for Maintenance/Training,"€10,000",Sports Club,Gaelic Football
Laois,Mountrath Development Association,Refurbishment of Tennis Courts,"€29,718",Community Group,Multi-sport
Laois,Mountrath Golf Club,Purchase of Pedestrian Greens Aerator,"€27,135",Sports Club,Golf
Laois,O'Dempsey's GFC,A dedicated juvenile pitch for our club and others,"€67,099",Sports Club,Gaelic Games
Laois,Park Ratheniska GAA,Park/Ratheniska GAA Clubhouse Redevelopment 2017,"€150,000",Sports Club,Gaelic Games
Laois,Portarlington Golf Club,Greens mower and Clubhouse Kitchen Renovation,"€55,657",Sports Club,Golf
Laois,Portarlington Leisure Centre,Outdoor sports,"€24,531",Sports Centre,Multi-sport
Laois,Portarlington Rugby Football Club,All weather 4g rugby pitch on our premises.,"€150,000",Sports Club,Rugby
Laois,Portlaoise Active Retirement,Portlaoise AR - Sports Equipment,"€1,500",Special Interest Group,Multi-sport
Laois,Portlaoise Golf Club,Green and Bunker Redevelopment PGC 2017,"€25,000",Sports Club,Golf
Laois,Portlaoise Ladies GFC,Portlaoise Ladies GFC Equipment,"€9,500",Sports Club,Gaelic Football
Laois,Portlaoise Panthers Basketball Club,Portlaoise panthers Basketball Club,"€9,456",Sports Club,Basketball
Laois,Portlaoise Rugby Football Club,Gym Toilets and Changing Rooms,"€128,200",Sports Club,Rugby
Laois,Portlaoise Soccer Club,Lawnmower + refurb showers,"€22,798",Sports Club,Soccer
Laois,Rathdowney GAA,Pitch Development,"€149,624",Sports Club,Gaelic Games
Laois,Rosenallis AFC,New Equipment For Rosenallis AFC,"€46,499",Sports Club,Soccer
Laois,Rosenallis/Kilcavan Athletics Club,Rosenallis/Kilcavan AC Equipment Dev. Programme,"€5,500",Sports Club,Athletics
Laois,Spink Community Development Association Ltd,Multi Use Games Area at Spink Community Field,"€60,000",Community Group,Gaelic Football
Laois,St Abban's AC,Development of existing Tack and Feild area.,"€61,424",Sports Club,Athletics
Laois,St Aengus Football Club,Perimemer fence/Ball stops/Mower/surround,"€45,000",Sports Club,Soccer
Laois,St Conleths L.G.F.C.,To purchace football training equipment.,"€4,250",Sports Club,Gaelic Football
Laois,St Fintans GAA Club Mountrath,Artificial Playing Surface Development,"€100,000",Sports Club,Gaelic Games
Laois,ST. ANNES FC,Grounds Security Fencing and Pitch Containment,"€56,847",Sports Club,Soccer
Laois,The Rock GAA Club,Refurbishment of the clubhouse and grounds,"€26,888",Sports Club,Gaelic Games
Laois,Trumera Commmunity Centre,Refurbish Trumera Community Sport Facility,"€26,367",Community Group,Multi-sport
Leitrim,Annaduff GAA,Annaduff GAA Multi User Games Area,"€63,299",Sports Club,Gaelic Football
Leitrim,Aughavas GAA Club,Floodlight Upgrade for Aughavas GAA,"€15,000",Sports Club,Gaelic Games
Leitrim,Aughawillan GAA Club,Main Pitch Drainage,"€69,200",Sports Club,Gaelic Games
Leitrim,Ballinaglera G.A.A.Club,Construct a Multi-purpose Indoor Sports Hall,"€83,375",Sports Club,Gaelic Games
Leitrim,Ballinamore Boxing Club,Ballinamore Boxing Club Sports Equipment.,"€7,778",Sports Club,Boxing
Leitrim,Carrick on Shannon Rowing Club,New Rowing Boats.New Rowing Machines,"€20,290",Sports Club,Rowing
Leitrim,Carrigallen GFC,Gymnasium and Fitness Equipment,"€24,000",Sports Club,Gaelic Games
Leitrim,Cloone Tidy Towns Committee,Bóthar na Naomh Athletics and Equestrian trail,"€82,000",Community Group,Multi-sport
Leitrim,drumkeerin handball sport and leisure ltd,4G Artificial Playing Pitch,"€101,000",Community Group,Handball
Leitrim,Drumshanbo Athletic Club,Sport Equipment Fund for Drumshanbo Athletic Club,"€10,801",Sports Club,Athletics
Leitrim,Fenagh St Caillins GAA,Ball stop netting,"€10,952",Sports Club,Gaelic Games
Leitrim,Gortletteragh GAA Club,Walking jogging track,"€9,300",Sports Club,Gaelic Games
Leitrim,Kiltubrid GAA,Kiltubrid GAA - Upgrade existing playing surface,"€104,618",Sports Club,Gaelic Football
Leitrim,Kinlough Community Development Co Ltd,Kinlough Community Centre Pitch Development,"€50,000",Community Group,Multi-sport
Leitrim,Leitrim County Council,Carrick on Shannon Community Pitch,"€150,000",Local Authority,Multi-sport
Leitrim,Leitrim County Council,Sports Partnership (LSP)- Cycle Right Equipment,"€10,620",Local Authority,Multi-sport
Leitrim,Leitrim Riding Club,Showjumping Equipment,"€17,070",Sports Club,Equestrian Sports
Leitrim,"manorhamilton community recreation & sports
limited",Manorhamilton Community Pitch Development Phase 2,"€150,000",Community Group,Multi-sport
Leitrim,Manorhamilton Community Tennis,Resurfacing of existing 3rd court and new fencing,"€35,834",Sports Club,Tennis
Leitrim,mohill gaa,Mohill GAA Club Sports Facility Enhancement,"€57,000",Sports Club,Gaelic Football
Leitrim,"North Leitrim Community Amenity Association
Ltd","Dressing room, toilets & disabled facilities dev","€150,000",Community Group,Multi-sport
Leitrim,St Mary's GAA Club Kiltoghert,"St. Marys Kiltoghert GAA Club, Carrick on Shannon,","€33,773",Sports Club,Gaelic Football
Leitrim,Trident Swim Club,Trident Swim Club,"€1,980",Sports Club,Swimming
Limerick,Abbeyfeale Rugby Football Club,New Grass Pitch Development,"€72,261",Sports Club,Rugby
Limerick,Abbeyfeale United FC,"Pitch development, lighting and sports equipment.","€105,000",Sports Club,Soccer
Limerick,Abha Bhan Parish Park Limited,"Loughill Community Park, MUGA and Sports Facility","€150,000",Community Group,Soccer
Limerick,"Adare Recreation & Community Complex
(ARCC)",Community Multisport Pitches & Exercise Paths,"€116,269",Community Group,Multi-sport
Limerick,Adare United A.F.C.,Adare United AFC Deerpark Pitch Development,"€46,514",Sports Club,Soccer
Limerick,Ahane GAA Club,Ahane GAA Ball Wall & Playing Area Facility.,"€75,000",Sports Club,Gaelic Games
Limerick,"ARDAGH DISTRICT RECREATIONAL &
SPORTING COMPANY LTD",Security Fencing,"€21,788",Community Group,Community Games
Limerick,Athea GAA Club,Perimeter Lighting to existing Walking Path,"€50,000",Sports Club,Gaelic Games
Limerick,Athea Utd AFC,Security Fencing,"€32,318",Sports Club,Soccer
Limerick,Athlunkard Boat Club,Dressing Room Refurbishment & Boat Purchase,"€65,000",Sports Club,Rowing
Limerick,Aughinish Diving Club,Aughinish Diving Club Rigid Inflatable Boat (RIB),"€30,000",Sports Club,Diving/Snorkelling
Limerick,Bally Rovers FC,Bally Rovers FC Sports Capital Grant Application,"€16,994",Sports Club,Soccer
Limerick,Ballybricken Bohermore GAA,Indoor facility for club & community activities,"€150,000",Sports Club,Gaelic Games
Limerick,Ballybricken Scout Group 46th Limerick,Expansion of Kayaking Program,"€7,032",Scout Troop,Multi-sport
Limerick,Ballyhoura Development CLG,Mountain bikes and helmets,"€9,975",Community Group,Multi-sport
Limerick,Ballylanders GAA,Refurbishment of Sports Hall,"€55,069",Sports Club,Gaelic Games
Limerick,Ballyneety Golf Club,Ballyneety Golf Club Course Drainage,"€80,767",Sports Club,Golf
Limerick,Blackrock GAA Club,"Tractor Mower, Forecourt Resurface & Referees room","€62,278",Sports Club,Gaelic Games
Limerick,Broadford United AFC,Additional Training Facilities,"€81,641",Sports Club,Soccer
Limerick,Bruff GAA Club,Project 1 Astroturf Replace Project 2 New Mower,"€55,187",Sports Club,Gaelic Games
Limerick,Caherdavin Celtic AFC,Caherdavin Celtic Fencing,"€6,500",Sports Club,Soccer
Limerick,Caherline GAA Club,"Hurling wall, 4G surface, storage shed and dugouts","€46,537",Sports Club,Hurling
Limerick,Cappagh GAA Club,Field Development,"€30,000",Sports Club,Gaelic Football
Limerick,Cappamore GAA Club,Pitch development Cappamore,"€135,000",Sports Club,Gaelic Games
Limerick,CareBright Community,Community Wellness & Fitness Gymnasium,"€9,873",Community Group,Multi-sport
Limerick,Carew Park Football Club,Astro Turf Football Field,"€150,000",Sports Club,Soccer
Limerick,Carrigkerry Sports Association Ltd,Purchase of mower and sand filtration to grounds,"€45,000",Community Group,Soccer
Limerick,Castleconnell Boat Club,Project to Purchase Boats/Oars & Gym Equipment,"€116,698",Sports Club,Rowing
Limerick,Castletown/Ballyagran GAA CLUB,Castletown-Ballyagran Field Development Upgrade,"€112,866",Sports Club,Gaelic Games
Limerick,Castletroy Golf Club,Course development 2017,"€57,200",Sports Club,Golf
Limerick,Catholic Institute Athletic Club,Catholic Institute Athletic Club,"€112,000",Sports Club,Multi-sport
Limerick,Crecora Camogie Club,Crecora Camogie Club Equipment Grant Application,"€1,200",Sports Club,Camogie
Limerick,Crecora GAA,"Drainage, Fencing, Ball Stop Netting & Dugouts","€27,680",Sports Club,Hurling
